Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,27/09/2023,23:00,Sao Paulo,Coritiba,1.41,4.83,8.65,1.44,5,8.8,1.4,4.57,8.03
China,Super League,29/09/2023,10:30,Cangzhou,Meizhou Hakka,2.37,4.07,2.58,2.49,4.07,2.65,2.4,3.75,2.59
China,Super League,29/09/2023,12:35,Nantong Zhiyun,Shanghai Port,5.79,4.33,1.52,6,4.46,1.57,5.81,4.28,1.5
China,Super League,29/09/2023,12:35,Shandong Taishan,Wuhan Three Towns,1.58,4.17,5.25,1.62,4.33,5.5,1.57,4.16,5.14
China,Super League,29/09/2023,12:35,Shenzhen,Changchun Yatai,8.58,6.09,1.27,11,6.5,1.31,9.77,6.1,1.25
China,Super League,29/09/2023,12:35,Tianjin Jinmen Tiger,Chengdu Rongcheng,3.7,3.42,2.02,3.8,3.59,2.15,3.56,3.39,2.03
Finland,Veikkausliiga,27/09/2023,16:00,HJK,Honka,1.68,3.9,5.61,1.68,3.9,5.61,1.64,3.72,5.2
Finland,Veikkausliiga,27/09/2023,16:00,Ilves,Mariehamn,1.86,3.9,4.22,1.86,3.9,4.6,1.8,3.66,4.15
Japan,J1 League,29/09/2023,11:00,Kawasaki Frontale,Albirex Niigata,1.79,3.87,4.59,1.8,3.95,4.6,1.75,3.76,4.39
Japan,J1 League,29/09/2023,11:00,Yokohama F. Marinos,Vissel Kobe,2.17,3.68,3.32,2.23,4.09,3.32,2.1,3.72,3.14
Japan,J1 League,29/09/2023,11:30,Urawa Reds,Yokohama FC,1.5,4.74,6.24,1.51,4.8,6.53,1.48,4.38,6.18
Mexico,Liga MX,27/09/2023,02:05,Guadalajara Chivas,Mazatlan FC,1.52,4.53,6.5,1.53,4.53,7,1.48,4.28,6.18
Mexico,Liga MX,29/09/2023,03:00,Atlas,Puebla,1.7,3.69,5.71,1.7,3.94,5.71,1.66,3.69,5.09
Poland,Ekstraklasa,27/09/2023,19:00,Pogon Szczecin,Legia,2.54,3.69,2.71,2.6,3.71,2.75,2.49,3.44,2.65
Poland,Ekstraklasa,28/09/2023,19:00,Lech Poznan,Rakow,2.28,3.47,3.15,2.32,3.62,3.2,2.24,3.34,3.05
Switzerland,Super League,26/09/2023,19:30,Zurich,Grasshoppers,1.59,4.47,5.45,1.59,4.5,5.6,1.56,4.24,5.38
Switzerland,Super League,27/09/2023,19:30,Lugano,Lausanne,1.93,3.99,3.76,1.96,4,4,1.89,3.76,3.68
Switzerland,Super League,27/09/2023,19:30,Servette,Winterthur,1.81,3.8,4.57,1.81,4,4.6,1.76,3.79,4.27
Switzerland,Super League,27/09/2023,19:30,St. Gallen,Young Boys,2.64,3.68,2.62,2.7,3.8,2.62,2.56,3.64,2.49
Switzerland,Super League,28/09/2023,19:30,Basel,Luzern,2.6,3.68,2.58,2.63,3.75,2.7,2.51,3.58,2.55
Switzerland,Super League,28/09/2023,19:30,Lausanne Ouchy,Yverdon,2.24,3.98,2.88,2.27,4,3.2,2.18,3.69,2.97
USA,MLS,28/09/2023,00:30,Philadelphia Union,FC Dallas,1.72,4.05,4.94,1.73,4.1,5,1.69,3.9,4.7
USA,MLS,28/09/2023,02:30,Colorado Rapids,Vancouver Whitecaps,3,3.9,2.28,3.04,3.9,2.32,2.89,3.64,2.27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
